Image Name,Mode,Channel,x_bar,y_bar,VAR(X), VAR(Y),"COV(X,Y)","Correlation(X,Y)"
01_Airplane.bmp,HD,RChannel,177.54,177.52,1979.76,1979.45,1925.45,0.972641
01_Airplane.bmp,HD,GChannel,177.8,178.2,2689.45,2630.5,2547.53,0.957787
01_Airplane.bmp,HD,BChannel,190.17,190.2,1039.86,1038.85,1001.92,0.963982
01_Airplane.bmp,VD,RChannel,177.63,177.83,1977.72,1948.86,1878.46,0.956816
01_Airplane.bmp,VD,GChannel,177.86,177.96,2690.97,2686.67,2602.12,0.967756
01_Airplane.bmp,VD,BChannel,190.2,190.48,1040.84,1002.86,955.59,0.935325
01_Airplane.bmp,DD,RChannel,177.59,177.77,1978.82,1949.68,1836.46,0.934968
01_Airplane.bmp,DD,GChannel,177.8,178.31,2693.28,2629.83,2475.11,0.930014
01_Airplane.bmp,DD,BChannel,190.16,190.47,1041.64,1002.67,927.42,0.907482
01_Airplane_en.bmp,HD,RChannel,127.52,127.52,5465.99,5466.66,6.26,0.001145
01_Airplane_en.bmp,HD,GChannel,127.35,127.36,5471.17,5470.67,-26.71,-0.004882
01_Airplane_en.bmp,HD,BChannel,127.42,127.43,5450.91,5451.58,5.34,0.00098
01_Airplane_en.bmp,VD,RChannel,127.51,127.52,5466.69,5466.99,-0.06,-1.1e-05
01_Airplane_en.bmp,VD,GChannel,127.36,127.37,5470.47,5470.77,8.52,0.001558
01_Airplane_en.bmp,VD,BChannel,127.45,127.43,5451.24,5450.95,19.13,0.003509
01_Airplane_en.bmp,DD,RChannel,127.51,127.53,5465.89,5466.9,-16.82,-0.003077
01_Airplane_en.bmp,DD,GChannel,127.36,127.37,5470.62,5470.37,-7.94,-0.001451
01_Airplane_en.bmp,DD,BChannel,127.44,127.42,5451.08,5451.46,-5.27,-0.000968
02_Baboon.bmp,HD,RChannel,137.45,137.37,3082.89,3081.03,2844.86,0.92307
02_Baboon.bmp,HD,GChannel,128.88,128.85,2284.29,2282.37,1976.18,0.865483
02_Baboon.bmp,HD,BChannel,113.17,113.18,3810.82,3808.96,3456.89,0.907348
02_Baboon.bmp,VD,RChannel,137.43,137.64,3082.51,3054.65,2657.25,0.865962
02_Baboon.bmp,VD,GChannel,128.85,129.09,2282.54,2259.24,1737.23,0.765009
02_Baboon.bmp,VD,BChannel,113.13,113.32,3809.33,3793.5,3348.64,0.880895
02_Baboon.bmp,DD,RChannel,137.49,137.62,3085.22,3055.51,2615.53,0.851873
02_Baboon.bmp,DD,GChannel,128.87,129.08,2284.81,2259.59,1647.16,0.72493
02_Baboon.bmp,DD,BChannel,113.18,113.38,3813.39,3795.67,3205.1,0.842446
02_Baboon_en.bmp,HD,RChannel,127.71,127.7,5437.21,5436.79,18.11,0.003331
02_Baboon_en.bmp,HD,GChannel,127.73,127.74,5462.39,5461.82,10.3,0.001885
02_Baboon_en.bmp,HD,BChannel,127.58,127.58,5467.46,5467.55,-2.24,-0.000409
02_Baboon_en.bmp,VD,RChannel,127.71,127.71,5437.11,5436.74,-6.97,-0.001283
02_Baboon_en.bmp,VD,GChannel,127.74,127.74,5461.63,5462.51,3.5,0.00064
02_Baboon_en.bmp,VD,BChannel,127.58,127.58,5467.17,5466.86,-2.12,-0.000388
02_Baboon_en.bmp,DD,RChannel,127.71,127.7,5436.91,5436.08,3.71,0.000683
02_Baboon_en.bmp,DD,GChannel,127.73,127.74,5461.7,5462.02,-4.26,-0.00078
02_Baboon_en.bmp,DD,BChannel,127.58,127.58,5467.4,5467.13,-0.29,-5.2e-05
03_Lena.bmp,HD,RChannel,180.23,180.27,2405.18,2404.77,2356.34,0.979777
03_Lena.bmp,HD,GChannel,99.03,99.12,2793.85,2796.31,2708.63,0.969071
03_Lena.bmp,HD,BChannel,105.4,105.46,1159.69,1160.23,1081.95,0.932746
